po_id,sku_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered
PO86373,P0035,S001,2025-04-15,2025-04-25,2025-04-25,134
PO96496,P0035,S002,2025-06-07,2025-06-24,2025-06-24,105
PO39829,P0035,S001,2025-07-26,2025-08-02,2025-08-02,351
PO50796,P0035,S006,2025-06-04,2025-06-11,2025-06-11,382
PO78576,P0036,S009,2025-11-04,2025-11-14,2025-11-14,498
PO31740,P0036,S000,2025-04-02,2025-04-05,2025-04-08,190
PO87638,P0036,S000,2025-04-30,2025-05-03,2025-05-03,378
PO19030,P0036,S000,2024-12-18,2024-12-22,2024-12-22,484
PO27760,P0036,S007,2025-05-23,2025-06-09,2025-06-09,421
PO64612,P0036,S001,2025-05-17,2025-05-23,2025-05-23,406
PO86820,P0036,S002,2025-01-06,2025-01-21,2025-01-24,354
PO49572,P0036,S007,2025-01-13,2025-01-25,2025-01-25,234
PO77754,P0036,S009,2025-11-12,2025-11-16,2025-11-16,440
PO79574,P0036,S008,2025-07-04,2025-07-13,2025-07-13,292
PO15190,P0036,S001,2025-07-29,2025-08-12,2025-08-12,346
PO60246,P0036,S008,2025-05-02,2025-05-06,2025-05-06,396
PO56721,P0037,S007,2025-11-02,2025-11-06,2025-11-08,201
PO80563,P0037,S000,2025-09-08,2025-09-27,2025-09-27,441
PO67244,P0037,S002,2025-05-31,2025-06-10,2025-06-11,384
PO82166,P0037,S000,2025-01-26,2025-02-14,2025-02-14,215
PO13813,P0037,S008,2024-12-25,2025-01-10,2025-01-10,389
PO50997,P0037,S005,2025-07-30,2025-08-11,2025-08-11,183
PO45912,P0037,S003,2025-08-14,2025-08-27,2025-08-28,85
PO49047,P0037,S000,2025-02-19,2025-03-06,2025-03-06,314
PO13925,P0037,S004,2025-01-31,2025-02-04,2025-02-04,183
PO31361,P0037,S007,2025-02-21,2025-03-12,2025-03-12,59
PO15967,P0037,S004,2025-08-20,2025-08-28,2025-08-31,138
PO75231,P0037,S003,2025-04-04,2025-04-23,2025-04-24,171
PO71574,P0037,S007,2025-11-05,2025-11-20,2025-11-20,394
PO89970,P0037,S003,2025-02-19,2025-03-01,2025-03-01,58
PO74327,P0037,S000,2025-08-06,2025-08-11,2025-08-11,300
PO82630,P0037,S008,2025-08-27,2025-09-01,2025-09-01,136
PO50208,P0038,S000,2025-02-03,2025-02-17,2025-02-17,135
PO83715,P0038,S004,2025-07-24,2025-07-28,2025-07-28,380
PO86694,P0038,S005,2025-01-31,2025-02-14,2025-02-15,481
PO22316,P0038,S001,2025-03-02,2025-03-18,2025-03-20,284
PO18313,P0038,S000,2025-01-20,2025-02-08,2025-02-08,135
PO77885,P0038,S003,2024-12-31,2025-01-15,2025-01-15,92
PO87053,P0038,S000,2025-04-27,2025-05-13,2025-05-13,89
PO48102,P0038,S007,2025-05-07,2025-05-24,2025-05-24,273
PO23691,P0038,S006,2025-06-23,2025-07-11,2025-07-11,168
PO72268,P0038,S003,2025-02-02,2025-02-11,2025-02-11,93
PO73717,P0038,S002,2024-11-17,2024-11-30,2024-11-30,467
PO37959,P0038,S003,2024-12-06,2024-12-23,2024-12-23,89
PO92507,P0038,S001,2025-06-07,2025-06-13,2025-06-13,103
PO52498,P0038,S006,2025-04-19,2025-04-23,2025-04-23,445
PO84465,P0038,S006,2025-05-29,2025-06-08,2025-06-08,52
PO38222,P0038,S004,2025-08-04,2025-08-18,2025-08-18,222
PO58956,P0039,S009,2024-12-13,2024-12-21,2024-12-21,182
PO15219,P0039,S006,2025-02-18,2025-02-23,2025-02-23,68
PO58485,P0039,S009,2024-11-24,2024-11-27,2024-11-27,110
PO53721,P0039,S004,2025-03-29,2025-04-01,2025-04-01,180
PO79052,P0039,S007,2025-03-11,2025-03-29,2025-03-31,461
PO59287,P0040,S008,2024-12-14,2024-12-18,2024-12-18,418
PO77161,P0040,S004,2025-11-16,2025-11-26,2025-11-26,460
PO95354,P0040,S004,2025-07-02,2025-07-05,2025-07-05,86
PO69152,P0040,S003,2025-08-06,2025-08-16,2025-08-16,90
PO73770,P0040,S006,2025-02-06,2025-02-14,2025-02-17,104
PO78935,P0040,S008,2025-08-21,2025-08-25,2025-08-25,388
PO92158,P0040,S004,2025-08-22,2025-09-06,2025-09-06,369
PO59052,P0040,S005,2025-11-05,2025-11-19,2025-11-19,420
PO68995,P0040,S008,2025-06-24,2025-07-05,2025-07-05,169
PO46727,P0040,S005,2025-09-08,2025-09-22,2025-09-26,154
PO34987,P0040,S004,2024-12-07,2024-12-13,2024-12-13,75
PO59911,P0040,S008,2025-03-28,2025-04-11,2025-04-12,295
PO45054,P0040,S000,2025-03-04,2025-03-09,2025-03-09,241
PO82982,P0041,S003,2025-01-04,2025-01-17,2025-01-17,353
PO32320,P0041,S008,2025-03-26,2025-03-31,2025-03-31,201
PO55747,P0041,S002,2025-10-26,2025-11-14,2025-11-14,489
PO54188,P0041,S009,2025-11-15,2025-12-02,2025-12-02,314
PO26156,P0041,S000,2025-01-20,2025-02-06,2025-02-06,226
PO63637,P0042,S007,2024-11-20,2024-11-28,2024-11-28,401
PO86341,P0042,S000,2025-05-09,2025-05-24,2025-05-24,89
PO20172,P0042,S000,2025-09-15,2025-09-22,2025-09-22,231
PO73775,P0042,S008,2025-03-24,2025-04-01,2025-04-01,270
PO78463,P0042,S003,2025-03-12,2025-03-20,2025-03-20,357
PO22616,P0042,S004,2025-10-29,2025-11-12,2025-11-15,76
PO15665,P0042,S000,2025-08-01,2025-08-18,2025-08-18,384
PO96886,P0043,S000,2025-03-08,2025-03-15,2025-03-15,458
PO79875,P0043,S007,2025-09-02,2025-09-12,2025-09-12,77
PO74767,P0043,S008,2025-06-09,2025-06-28,2025-06-28,58
PO65941,P0043,S008,2025-03-05,2025-03-14,2025-03-14,186
PO10676,P0043,S000,2024-12-18,2025-01-05,2025-01-05,146
PO69318,P0043,S009,2024-11-22,2024-11-27,2024-11-27,196
PO16146,P0043,S008,2025-01-22,2025-01-29,2025-01-29,276
PO84313,P0043,S002,2025-02-17,2025-03-01,2025-03-01,449
PO51537,P0043,S008,2024-12-01,2024-12-15,2024-12-15,334
PO13642,P0043,S001,2024-11-26,2024-12-08,2024-12-08,214
PO44361,P0043,S006,2025-05-11,2025-05-23,2025-05-23,158
PO99944,P0044,S005,2025-04-21,2025-04-30,2025-04-30,119
PO62266,P0044,S000,2025-08-31,2025-09-08,2025-09-08,240
PO79290,P0044,S006,2025-07-20,2025-08-04,2025-08-04,217
PO55819,P0044,S005,2025-08-17,2025-08-26,2025-08-26,448
PO41814,P0044,S009,2025-04-10,2025-04-16,2025-04-16,352
PO44064,P0045,S000,2025-06-26,2025-07-11,2025-07-11,466
PO84838,P0045,S006,2025-07-03,2025-07-16,2025-07-16,347
PO45121,P0045,S001,2025-01-10,2025-01-20,2025-01-21,269
PO61454,P0045,S006,2025-03-27,2025-04-13,2025-04-13,244
PO16423,P0045,S008,2025-04-30,2025-05-03,2025-05-06,140
PO57663,P0045,S006,2025-06-11,2025-06-25,2025-06-25,340
PO33753,P0045,S002,2025-10-03,2025-10-19,2025-10-19,70
PO14462,P0045,S006,2025-07-01,2025-07-08,2025-07-08,362
PO93121,P0046,S006,2025-06-30,2025-07-19,2025-07-19,402
PO74503,P0046,S004,2025-07-05,2025-07-16,2025-07-19,265
PO72607,P0046,S001,2024-12-30,2025-01-10,2025-01-10,452
PO65749,P0046,S009,2024-12-29,2025-01-10,2025-01-10,238
PO49178,P0046,S005,2025-10-10,2025-10-19,2025-10-21,321
PO82536,P0046,S003,2025-11-09,2025-11-21,2025-11-21,117
PO48131,P0046,S004,2025-10-31,2025-11-06,2025-11-06,182
PO13543,P0046,S008,2025-07-27,2025-08-08,2025-08-08,369
PO16604,P0046,S008,2025-02-23,2025-03-13,2025-03-13,288
PO28605,P0046,S009,2025-02-11,2025-02-19,2025-02-19,491
PO65563,P0046,S004,2025-05-01,2025-05-13,2025-05-14,246
PO61677,P0046,S004,2025-11-13,2025-11-28,2025-11-28,416
PO99001,P0046,S001,2025-07-13,2025-07-22,2025-07-22,160
PO58944,P0046,S005,2025-07-17,2025-07-29,2025-07-29,277
PO39073,P0046,S007,2025-08-17,2025-08-27,2025-08-27,425
PO11091,P0046,S003,2025-05-05,2025-05-22,2025-05-22,478
PO92846,P0046,S005,2025-05-13,2025-05-24,2025-05-24,303
PO62507,P0047,S001,2025-11-05,2025-11-09,2025-11-09,485
PO83655,P0047,S007,2025-03-13,2025-03-24,2025-03-24,268
PO90754,P0047,S003,2025-05-01,2025-05-15,2025-05-15,423
PO66296,P0047,S007,2025-02-17,2025-02-27,2025-02-27,307
PO43861,P0047,S001,2025-06-26,2025-07-14,2025-07-14,214
PO94358,P0047,S001,2025-11-16,2025-11-21,2025-11-21,297
PO34851,P0047,S001,2025-10-01,2025-10-19,2025-10-19,484
PO41392,P0047,S001,2025-11-08,2025-11-14,2025-11-14,52
PO23621,P0047,S004,2025-06-26,2025-07-10,2025-07-11,288
PO55843,P0047,S009,2025-01-23,2025-02-01,2025-02-01,136
PO83021,P0047,S004,2024-11-27,2024-12-09,2024-12-09,475
PO45809,P0048,S001,2025-06-29,2025-07-13,2025-07-13,359
PO75619,P0048,S006,2025-07-17,2025-07-21,2025-07-21,278
PO21748,P0048,S009,2025-08-13,2025-08-21,2025-08-25,96
PO10772,P0048,S002,2025-05-26,2025-05-30,2025-05-30,479
PO67797,P0048,S005,2025-08-24,2025-08-28,2025-08-28,142
PO11770,P0049,S008,2025-06-12,2025-06-24,2025-06-24,466
PO23280,P0049,S009,2024-12-25,2025-01-13,2025-01-13,205
PO90773,P0049,S001,2025-07-19,2025-07-29,2025-07-29,418
PO79907,P0049,S008,2025-02-07,2025-02-20,2025-02-21,226
PO58573,P0049,S001,2024-12-04,2024-12-13,2024-12-13,77
PO33155,P0049,S006,2024-12-17,2024-12-31,2024-12-31,272
PO67702,P0049,S001,2025-02-07,2025-02-10,2025-02-10,177
PO45167,P0049,S001,2025-05-31,2025-06-04,2025-06-04,228
PO50149,P0049,S004,2025-02-13,2025-02-27,2025-02-27,166
