po_id,sku_id,supplier_id,order_date,expected_delivery_date,actual_delivery_date,quantity_ordered,freight_cost,payment_terms
PO100290,SKU1025,SUP508,2025-06-30,2025-07-09,2025-07-09,794,54.38,Prepaid
PO100291,SKU1114,SUP500,2025-09-23,2025-09-27,2025-09-27,882,33.38,Net45
PO100292,SKU1074,SUP512,2024-09-26,2024-10-08,2024-10-09,87,82.43,Net45
PO100293,SKU1033,SUP517,2024-05-24,2024-06-14,2024-06-14,719,13.97,Prepaid
PO100294,SKU1046,SUP512,2024-09-19,2024-09-29,2024-09-29,800,29.65,Net30
PO100295,SKU1017,SUP514,2024-01-22,2024-01-26,2024-01-28,422,121.46,Net45
PO100296,SKU1001,SUP507,2024-08-22,2024-08-27,2024-08-30,678,82.42,Net45
PO100297,SKU1021,SUP516,2024-09-04,2024-09-14,2024-09-16,629,186.62,Net45
PO100298,SKU1084,SUP504,2025-10-25,2025-11-08,2025-11-08,417,116.53,Prepaid
PO100299,SKU1028,SUP515,2025-04-22,2025-05-11,2025-05-11,289,88.56,Prepaid
PO100300,SKU1085,SUP506,2025-03-12,2025-03-19,2025-03-19,447,110.36,Net30
PO100301,SKU1117,SUP514,2025-03-21,2025-04-08,2025-04-10,714,141.45,Net30
PO100302,SKU1013,SUP516,2024-10-18,2024-11-07,2024-11-08,809,54.95,Net30
PO100303,SKU1074,SUP517,2024-07-18,2024-08-03,2024-08-03,437,98.29,Net30
PO100304,SKU1075,SUP502,2025-03-08,2025-03-26,2025-03-27,979,174.62,Prepaid
PO100305,SKU1066,SUP512,2024-12-31,2025-01-21,2025-01-21,548,12.59,Net30
PO100306,SKU1113,SUP500,2025-06-12,2025-06-25,2025-06-27,219,104.17,Prepaid
PO100307,SKU1009,SUP516,2024-06-09,2024-06-14,2024-06-15,241,135.68,Prepaid
PO100308,SKU1046,SUP503,2025-06-26,2025-07-10,2025-07-10,388,20.51,Net45
PO100309,SKU1014,SUP515,2024-11-26,2024-12-15,2024-12-15,654,119.22,Prepaid
PO100310,SKU1082,SUP513,2025-11-14,2025-11-23,2025-11-25,637,91.71,Net45
PO100311,SKU1020,SUP504,2025-04-12,2025-04-19,2025-04-20,636,11.61,Prepaid
PO100312,SKU1007,SUP505,2025-03-15,2025-03-26,2025-03-28,465,126.06,Net45
PO100313,SKU1072,SUP500,2025-02-04,2025-02-22,2025-02-23,891,83.54,Net30
PO100314,SKU1010,SUP506,2024-07-10,2024-07-17,2024-07-18,938,151.87,Net30
PO100315,SKU1021,SUP507,2025-07-02,2025-07-22,2025-07-23,863,103.89,Net45
PO100316,SKU1105,SUP505,2025-03-04,2025-03-10,2025-03-10,221,84.88,Net45
PO100317,SKU1087,SUP510,2025-07-09,2025-07-27,2025-07-28,120,166.85,Prepaid
PO100318,SKU1048,SUP512,2025-09-06,2025-09-12,2025-09-14,585,171.27,Net45
PO100319,SKU1087,SUP513,2024-11-08,2024-11-17,2024-11-18,231,178.14,Net30
PO100320,SKU1115,SUP501,2025-02-06,2025-02-19,2025-02-19,820,158.52,Prepaid
PO100321,SKU1011,SUP515,2025-05-25,2025-06-10,2025-06-11,602,68.82,Prepaid
PO100322,SKU1114,SUP513,2024-01-21,2024-02-09,2024-02-10,94,103.52,Net45
PO100323,SKU1067,SUP513,2025-01-22,2025-02-05,2025-02-07,858,139.15,Net30
PO100324,SKU1044,SUP503,2024-05-07,2024-05-27,2024-05-27,834,139.31,Prepaid
PO100325,SKU1116,SUP502,2025-03-01,2025-03-17,2025-03-17,468,88.08,Net30
PO100326,SKU1024,SUP500,2025-08-05,2025-08-09,2025-08-11,641,70.04,Net45
PO100327,SKU1015,SUP516,2025-04-26,2025-05-16,2025-05-21,754,172.14,Net30
PO100328,SKU1052,SUP511,2024-04-06,2024-04-30,2024-05-01,649,166.14,Net30
PO100329,SKU1033,SUP517,2025-11-07,2025-11-15,2025-11-15,332,195.71,Net45
PO100330,SKU1050,SUP506,2024-08-03,2024-08-21,2024-08-21,544,33.16,Prepaid
PO100331,SKU1047,SUP517,2024-11-23,2024-12-09,2024-12-10,364,100.32,Net45
PO100332,SKU1044,SUP512,2025-07-11,2025-07-30,2025-08-01,725,82.47,Prepaid
PO100333,SKU1095,SUP507,2025-04-18,2025-05-03,2025-05-07,215,42.57,Prepaid
PO100334,SKU1027,SUP516,2024-08-25,2024-09-12,2024-09-16,613,199.95,Net45
PO100335,SKU1089,SUP501,2025-08-09,2025-08-23,2025-08-23,55,176.99,Prepaid
PO100336,SKU1105,SUP504,2024-02-21,2024-03-15,2024-03-17,140,14.97,Prepaid
PO100337,SKU1033,SUP507,2024-09-21,2024-10-13,2024-10-16,791,182.11,Net30
PO100338,SKU1119,SUP512,2025-05-29,2025-06-12,2025-06-13,778,88.05,Net45
PO100339,SKU1007,SUP505,2025-02-19,2025-03-03,2025-03-05,256,50.09,Net45
PO100340,SKU1119,SUP516,2025-04-20,2025-05-01,2025-05-02,663,101.73,Net45
PO100341,SKU1066,SUP507,2024-12-27,2025-01-12,2025-01-13,418,160.52,Prepaid
PO100342,SKU1083,SUP500,2024-10-08,2024-10-20,2024-10-24,332,192.61,Net30
PO100343,SKU1045,SUP512,2024-02-09,2024-02-15,2024-02-15,65,96.51,Net45
PO100344,SKU1090,SUP502,2024-04-22,2024-05-13,2024-05-13,793,146.85,Net45
PO100345,SKU1117,SUP511,2025-01-03,2025-01-16,2025-01-16,281,198.3,Net45
PO100346,SKU1024,SUP514,2024-04-13,2024-05-06,2024-05-07,317,141.77,Prepaid
PO100347,SKU1052,SUP516,2024-07-08,2024-07-13,2024-07-16,351,52.04,Net30
PO100348,SKU1014,SUP516,2024-01-09,2024-01-20,2024-01-21,882,96.7,Net45
PO100349,SKU1032,SUP514,2025-05-03,2025-05-27,2025-05-27,838,57.47,Prepaid
PO100350,SKU1096,SUP510,2024-11-17,2024-12-10,2024-12-11,521,151.58,Net45
PO100351,SKU1110,SUP500,2025-06-09,2025-06-14,2025-06-15,441,109.64,Net45
PO100352,SKU1100,SUP507,2025-11-06,2025-11-15,2025-11-15,373,126.07,Net30
PO100353,SKU1045,SUP516,2025-10-15,2025-11-06,2025-11-06,319,30.76,Prepaid
PO100354,SKU1036,SUP502,2025-10-09,2025-11-02,2025-11-02,400,61.56,Prepaid
PO100355,SKU1070,SUP505,2024-08-01,2024-08-19,2024-08-21,965,96.82,Net45
PO100356,SKU1034,SUP505,2025-05-21,2025-06-11,2025-06-12,981,151.38,Prepaid
PO100357,SKU1063,SUP506,2025-02-16,2025-02-24,2025-02-25,321,175.34,Prepaid
PO100358,SKU1029,SUP506,2024-11-02,2024-11-24,2024-11-24,414,192.45,Prepaid
PO100359,SKU1099,SUP503,2025-09-10,2025-09-25,2025-09-28,729,44.81,Net30
PO100360,SKU1078,SUP500,2024-11-22,2024-11-30,2024-12-01,93,130.04,Net30
PO100361,SKU1047,SUP510,2024-08-26,2024-09-18,2024-09-19,968,188.23,Net45
PO100362,SKU1111,SUP508,2025-04-04,2025-04-16,2025-04-16,987,55.24,Net45
PO100363,SKU1035,SUP512,2024-08-09,2024-08-28,2024-08-29,105,92.76,Net45
PO100364,SKU1102,SUP513,2025-02-14,2025-02-19,2025-02-20,564,72.93,Net30
PO100365,SKU1050,SUP505,2024-01-03,2024-01-15,2024-01-15,580,125.81,Net30
PO100366,SKU1040,SUP500,2024-06-29,2024-07-17,2024-07-20,644,157.76,Prepaid
PO100367,SKU1041,SUP511,2025-03-30,2025-04-20,2025-04-20,611,139.78,Net30
PO100368,SKU1030,SUP508,2024-10-02,2024-10-21,2024-10-22,424,171.57,Prepaid
PO100369,SKU1063,SUP513,2024-01-16,2024-02-04,2024-02-06,431,121.31,Net30
PO100370,SKU1109,SUP512,2025-03-05,2025-03-14,2025-03-14,184,70.84,Net45
PO100371,SKU1087,SUP507,2024-04-06,2024-04-12,2024-04-12,873,46.3,Prepaid
PO100372,SKU1071,SUP513,2025-10-23,2025-10-27,2025-10-27,869,163.4,Net45
PO100373,SKU1019,SUP515,2024-05-10,2024-05-25,2024-05-26,561,162.22,Prepaid
PO100374,SKU1114,SUP516,2025-01-01,2025-01-11,2025-01-13,548,129.07,Net30
PO100375,SKU1032,SUP517,2024-08-17,2024-09-07,2024-09-09,151,195.01,Net45
PO100376,SKU1020,SUP501,2025-09-10,2025-09-30,2025-10-01,909,150.66,Net45
PO100377,SKU1012,SUP514,2025-05-31,2025-06-12,2025-06-12,418,42.62,Net45
PO100378,SKU1071,SUP508,2025-10-27,2025-11-15,2025-11-15,409,129.49,Net45
PO100379,SKU1077,SUP506,2024-11-03,2024-11-17,2024-11-18,601,74.25,Prepaid
PO100380,SKU1099,SUP509,2025-06-07,2025-06-23,2025-06-23,549,169.39,Net45
PO100381,SKU1057,SUP502,2025-04-16,2025-04-23,2025-04-23,696,157.89,Prepaid
PO100382,SKU1111,SUP505,2025-10-03,2025-10-08,2025-10-09,481,160.21,Net45
PO100383,SKU1078,SUP512,2024-01-04,2024-01-12,2024-01-13,215,126.99,Net30
PO100384,SKU1029,SUP510,2025-07-17,2025-07-30,2025-07-31,323,86.53,Net45
PO100385,SKU1082,SUP512,2025-06-17,2025-06-30,2025-07-01,933,14.22,Net30
PO100386,SKU1095,SUP516,2024-02-27,2024-03-16,2024-03-16,238,111.5,Prepaid
PO100387,SKU1016,SUP507,2024-07-31,2024-08-07,2024-08-07,767,189.17,Net45
PO100388,SKU1010,SUP506,2025-09-23,2025-10-15,2025-10-16,115,145.28,Net30
PO100389,SKU1070,SUP501,2025-08-04,2025-08-11,2025-08-11,833,138.8,Prepaid
PO100390,SKU1013,SUP508,2024-05-18,2024-06-11,2024-06-13,956,147.18,Net30
PO100391,SKU1039,SUP507,2025-10-28,2025-11-17,2025-11-18,691,19.93,Prepaid
PO100392,SKU1016,SUP516,2025-07-06,2025-07-28,2025-07-29,729,197.47,Net30
PO100393,SKU1110,SUP510,2024-09-19,2024-09-23,2024-09-25,941,66.71,Net45
PO100394,SKU1119,SUP508,2024-03-05,2024-03-14,2024-03-15,764,35.48,Net45
PO100395,SKU1022,SUP514,2024-08-09,2024-08-27,2024-08-27,627,39.06,Net30
PO100396,SKU1067,SUP517,2024-04-20,2024-05-12,2024-05-12,602,74.68,Prepaid
PO100397,SKU1103,SUP502,2025-11-11,2025-11-26,2025-11-26,316,55.79,Prepaid
PO100398,SKU1038,SUP500,2025-10-01,2025-10-14,2025-10-19,918,35.68,Prepaid
PO100399,SKU1044,SUP509,2025-09-30,2025-10-21,2025-10-22,994,49.38,Net30
PO100400,SKU1096,SUP515,2025-02-22,2025-03-14,2025-03-14,867,153.97,Net30
PO100401,SKU1076,SUP507,2024-05-13,2024-05-29,2024-05-29,243,119.67,Net30
PO100402,SKU1112,SUP517,2024-03-01,2024-03-15,2024-03-16,782,186.87,Net45
PO100403,SKU1082,SUP512,2024-07-31,2024-08-08,2024-08-09,131,58.47,Net30
PO100404,SKU1080,SUP507,2024-02-29,2024-03-04,2024-03-04,677,68.03,Net45
PO100405,SKU1087,SUP508,2025-06-09,2025-06-22,2025-06-27,878,30.16,Net30
PO100406,SKU1052,SUP506,2024-10-22,2024-11-13,2024-11-13,346,66.07,Prepaid
PO100407,SKU1081,SUP514,2025-11-03,2025-11-16,2025-11-18,687,57.35,Net30
PO100408,SKU1024,SUP510,2024-08-30,2024-09-17,2024-09-18,597,114.75,Prepaid
PO100409,SKU1023,SUP503,2024-04-17,2024-04-30,2024-05-02,498,10.86,Net45
PO100410,SKU1001,SUP507,2024-05-25,2024-06-18,2024-06-20,272,31.1,Net30
PO100411,SKU1053,SUP509,2024-04-30,2024-05-24,2024-05-26,430,39.01,Net30
PO100412,SKU1089,SUP501,2024-09-10,2024-09-30,2024-09-30,199,135.47,Prepaid
PO100413,SKU1034,SUP512,2025-06-28,2025-07-03,2025-07-04,246,137.19,Net30
PO100414,SKU1104,SUP512,2024-03-02,2024-03-10,2024-03-11,836,84.24,Net45
PO100415,SKU1031,SUP512,2025-01-31,2025-02-21,2025-02-21,805,56.97,Prepaid
PO100416,SKU1025,SUP514,2025-02-22,2025-03-13,2025-03-14,731,196.4,Prepaid
PO100417,SKU1060,SUP512,2024-12-04,2024-12-15,2024-12-16,380,44.86,Prepaid
PO100418,SKU1080,SUP501,2024-10-29,2024-11-13,2024-11-13,175,165.21,Net30
PO100419,SKU1061,SUP509,2024-11-02,2024-11-15,2024-11-16,934,126.18,Net45
PO100420,SKU1027,SUP503,2023-11-20,2023-11-30,2023-11-30,65,164.94,Prepaid
PO100421,SKU1101,SUP508,2024-09-29,2024-10-13,2024-10-13,298,121.9,Prepaid
PO100422,SKU1005,SUP515,2025-03-10,2025-03-22,2025-03-23,839,16.39,Prepaid
PO100423,SKU1031,SUP505,2024-09-01,2024-09-21,2024-09-22,396,73.76,Net45
PO100424,SKU1007,SUP501,2024-01-19,2024-01-31,2024-01-31,599,147.36,Prepaid
PO100425,SKU1016,SUP515,2025-04-19,2025-04-28,2025-04-30,857,13.41,Net45
PO100426,SKU1096,SUP511,2024-11-22,2024-12-08,2024-12-10,247,159.06,Prepaid
PO100427,SKU1088,SUP512,2025-08-20,2025-08-28,2025-08-30,970,191.67,Prepaid
PO100428,SKU1062,SUP514,2025-02-18,2025-02-23,2025-02-23,551,13.85,Prepaid
PO100429,SKU1072,SUP505,2025-06-24,2025-07-07,2025-07-07,529,144.65,Net30
PO100430,SKU1111,SUP517,2024-07-09,2024-07-27,2024-07-27,510,121.38,Net30
PO100431,SKU1104,SUP508,2024-10-30,2024-11-08,2024-11-12,844,131.59,Net45
PO100432,SKU1064,SUP512,2024-06-01,2024-06-22,2024-06-24,684,24.95,Net30
PO100433,SKU1099,SUP507,2024-09-17,2024-10-02,2024-10-03,601,30.03,Net30
PO100434,SKU1024,SUP516,2025-06-03,2025-06-14,2025-06-16,207,137.78,Net45
PO100435,SKU1036,SUP510,2025-08-04,2025-08-19,2025-08-21,148,43.65,Net45
PO100436,SKU1084,SUP502,2025-10-22,2025-10-30,2025-10-31,232,159.3,Prepaid
PO100437,SKU1025,SUP503,2024-01-08,2024-01-15,2024-01-18,634,159.16,Net45
PO100438,SKU1107,SUP512,2024-03-27,2024-04-10,2024-04-10,768,33.73,Net45
PO100439,SKU1032,SUP501,2024-04-03,2024-04-22,2024-04-24,122,164.12,Prepaid
PO100440,SKU1119,SUP506,2024-10-19,2024-11-03,2024-11-04,902,92.9,Prepaid
PO100441,SKU1059,SUP501,2025-09-29,2025-10-18,2025-10-18,961,171.96,Net30
PO100442,SKU1105,SUP511,2025-10-09,2025-10-29,2025-10-30,681,70.28,Net30
PO100443,SKU1067,SUP501,2025-01-27,2025-02-10,2025-02-12,129,199.94,Prepaid
PO100444,SKU1066,SUP503,2025-01-03,2025-01-22,2025-01-22,444,96.14,Prepaid
PO100445,SKU1024,SUP516,2024-08-05,2024-08-29,2024-09-02,233,21.94,Net45
PO100446,SKU1095,SUP517,2025-05-26,2025-06-18,2025-06-21,703,99.08,Net45
PO100447,SKU1045,SUP514,2024-04-12,2024-04-17,2024-04-17,156,53.1,Prepaid
PO100448,SKU1101,SUP505,2024-08-10,2024-08-16,2024-08-16,723,74.73,Prepaid
PO100449,SKU1068,SUP514,2024-06-30,2024-07-16,2024-07-16,613,135.95,Net30
PO100450,SKU1108,SUP511,2025-06-11,2025-06-26,2025-06-28,895,143.59,Net45
PO100451,SKU1041,SUP507,2025-03-21,2025-04-06,2025-04-07,834,125.14,Net45
PO100452,SKU1118,SUP508,2024-02-05,2024-02-14,2024-02-16,456,22.26,Prepaid
PO100453,SKU1092,SUP501,2025-07-28,2025-08-04,2025-08-05,580,173.09,Prepaid
PO100454,SKU1113,SUP509,2024-05-14,2024-05-22,2024-05-29,269,112.29,Net30
PO100455,SKU1002,SUP508,2025-08-11,2025-08-21,2025-08-23,634,22.63,Net45
PO100456,SKU1019,SUP503,2024-12-10,2024-12-25,2024-12-26,191,196.32,Net30
PO100457,SKU1046,SUP507,2024-08-27,2024-09-14,2024-09-18,144,41.54,Net45
PO100458,SKU1051,SUP506,2024-04-19,2024-05-01,2024-05-01,861,118.65,Net30
PO100459,SKU1022,SUP515,2025-09-07,2025-09-24,2025-09-26,640,158.83,Prepaid
PO100460,SKU1076,SUP509,2024-05-26,2024-06-06,2024-06-06,440,197.31,Prepaid
PO100461,SKU1099,SUP501,2024-03-22,2024-04-10,2024-04-10,950,47.83,Net30
PO100462,SKU1053,SUP503,2025-11-04,2025-11-18,2025-11-18,718,60.59,Net45
PO100463,SKU1118,SUP500,2024-02-18,2024-03-06,2024-03-06,105,73.42,Net30
PO100464,SKU1067,SUP501,2025-08-03,2025-08-26,2025-08-27,384,49.3,Net45
PO100465,SKU1089,SUP507,2025-06-02,2025-06-14,2025-06-15,452,121.66,Net30
PO100466,SKU1096,SUP516,2024-06-09,2024-06-13,2024-06-15,855,159.28,Net30
PO100467,SKU1018,SUP504,2023-11-23,2023-12-03,2023-12-07,813,150.4,Prepaid
PO100468,SKU1070,SUP512,2023-12-11,2023-12-17,2023-12-18,494,151.15,Net45
PO100469,SKU1016,SUP504,2025-10-02,2025-10-18,2025-10-19,454,162.67,Net45
PO100470,SKU1073,SUP506,2025-07-22,2025-08-15,2025-08-15,586,92.99,Prepaid
PO100471,SKU1031,SUP502,2024-01-31,2024-02-18,2024-02-18,751,12.9,Net45
PO100472,SKU1011,SUP503,2024-03-08,2024-03-12,2024-03-12,406,20.59,Prepaid
PO100473,SKU1041,SUP511,2024-11-06,2024-11-29,2024-11-30,362,175.92,Prepaid
PO100474,SKU1044,SUP514,2024-03-22,2024-03-26,2024-03-27,996,84.47,Prepaid
PO100475,SKU1025,SUP511,2024-10-30,2024-11-15,2024-11-15,137,186.28,Prepaid
PO100476,SKU1094,SUP501,2025-08-02,2025-08-20,2025-08-20,201,16.76,Net30
PO100477,SKU1001,SUP510,2025-06-03,2025-06-11,2025-06-12,510,107.64,Net30
PO100478,SKU1002,SUP510,2024-10-22,2024-11-08,2024-11-09,258,161.86,Net45
PO100479,SKU1066,SUP508,2024-07-24,2024-08-13,2024-08-15,194,195.82,Net45
PO100480,SKU1089,SUP500,2023-12-08,2023-12-15,2023-12-16,589,14.23,Prepaid
PO100481,SKU1032,SUP505,2024-04-29,2024-05-05,2024-05-06,763,63.32,Net45
PO100482,SKU1034,SUP501,2025-10-22,2025-11-04,2025-11-06,118,32.11,Net30
PO100483,SKU1084,SUP508,2024-09-22,2024-10-12,2024-10-12,418,133.82,Prepaid
PO100484,SKU1002,SUP509,2025-01-14,2025-01-24,2025-01-25,286,57.92,Net30
PO100485,SKU1065,SUP503,2025-02-02,2025-02-26,2025-02-28,661,95.94,Net45
PO100486,SKU1011,SUP505,2023-12-27,2024-01-20,2024-01-21,624,102.64,Net45
PO100487,SKU1002,SUP501,2025-04-09,2025-04-20,2025-04-21,391,139.21,Net30
PO100488,SKU1050,SUP505,2025-01-26,2025-02-06,2025-02-07,413,84.1,Net45
PO100489,SKU1038,SUP507,2024-03-01,2024-03-15,2024-03-17,332,35.89,Prepaid
PO100490,SKU1080,SUP508,2025-08-02,2025-08-09,2025-08-13,884,173.27,Prepaid
PO100491,SKU1071,SUP508,2025-02-19,2025-03-02,2025-03-03,452,162.58,Net45
PO100492,SKU1017,SUP502,2024-03-14,2024-03-31,2024-04-01,744,194.18,Net45
PO100493,SKU1111,SUP507,2024-01-30,2024-02-15,2024-02-15,486,22.52,Net30
PO100494,SKU1116,SUP510,2024-04-02,2024-04-20,2024-04-21,718,22.75,Prepaid
PO100495,SKU1074,SUP517,2024-10-05,2024-10-12,2024-10-14,191,180.51,Net30
PO100496,SKU1088,SUP516,2024-11-14,2024-12-08,2024-12-10,980,25.05,Prepaid
PO100497,SKU1083,SUP505,2024-01-04,2024-01-11,2024-01-13,786,84.7,Prepaid
PO100498,SKU1023,SUP510,2024-01-11,2024-01-18,2024-01-18,80,63.33,Net30
PO100499,SKU1112,SUP513,2024-11-26,2024-12-17,2024-12-17,813,138.75,Net45
PO100500,SKU1119,SUP508,2023-11-29,2023-12-20,2023-12-21,184,51.0,Prepaid
PO100501,SKU1003,SUP508,2025-01-29,2025-02-19,2025-02-21,660,98.07,Prepaid
PO100502,SKU1029,SUP500,2025-02-17,2025-02-22,2025-02-24,538,171.0,Prepaid
PO100503,SKU1064,SUP515,2023-12-29,2024-01-04,2024-01-06,922,11.65,Net30
PO100504,SKU1062,SUP515,2024-05-04,2024-05-18,2024-05-19,83,108.9,Net30
PO100505,SKU1097,SUP500,2025-05-25,2025-05-31,2025-05-31,277,104.45,Net45
PO100506,SKU1085,SUP506,2024-12-07,2024-12-20,2024-12-23,999,25.11,Net30
PO100507,SKU1110,SUP515,2024-08-24,2024-09-06,2024-09-07,958,183.09,Prepaid
PO100508,SKU1054,SUP512,2025-07-08,2025-07-12,2025-07-14,894,196.41,Net30
PO100509,SKU1092,SUP510,2025-06-06,2025-06-24,2025-06-25,635,170.46,Net45
PO100510,SKU1068,SUP516,2023-11-21,2023-11-27,2023-11-28,89,124.85,Net45
PO100511,SKU1013,SUP514,2025-10-21,2025-10-31,2025-11-01,948,55.62,Prepaid
PO100512,SKU1066,SUP517,2024-06-23,2024-06-27,2024-06-30,621,189.94,Net30
PO100513,SKU1066,SUP501,2025-03-18,2025-04-05,2025-04-06,955,81.94,Net30
PO100514,SKU1099,SUP509,2024-01-25,2024-02-02,2024-02-03,677,104.32,Prepaid
PO100515,SKU1088,SUP516,2024-02-09,2024-02-17,2024-02-19,711,133.72,Net30
PO100516,SKU1011,SUP516,2024-01-21,2024-02-05,2024-02-06,965,120.93,Net45
PO100517,SKU1069,SUP504,2025-02-25,2025-03-02,2025-03-03,75,180.43,Prepaid
PO100518,SKU1058,SUP506,2024-08-01,2024-08-20,2024-08-24,381,180.77,Net45
PO100519,SKU1083,SUP505,2025-07-15,2025-08-06,2025-08-07,166,144.34,Net45
PO100520,SKU1057,SUP511,2024-02-01,2024-02-19,2024-02-20,794,22.09,Net45
PO100521,SKU1078,SUP505,2024-04-10,2024-04-23,2024-04-24,836,16.51,Prepaid
PO100522,SKU1116,SUP510,2025-04-18,2025-05-07,2025-05-08,203,38.2,Prepaid
PO100523,SKU1111,SUP504,2025-05-28,2025-06-19,2025-06-19,479,11.76,Net30
PO100524,SKU1039,SUP514,2025-07-29,2025-08-14,2025-08-16,970,140.45,Prepaid
PO100525,SKU1025,SUP500,2025-09-21,2025-10-13,2025-10-13,519,26.52,Net30
PO100526,SKU1109,SUP515,2024-09-30,2024-10-08,2024-10-10,953,14.65,Net30
PO100527,SKU1030,SUP506,2024-05-17,2024-05-21,2024-05-21,469,12.29,Net30
PO100528,SKU1010,SUP500,2025-04-29,2025-05-12,2025-05-12,684,81.48,Net45
PO100529,SKU1071,SUP506,2024-09-10,2024-09-20,2024-09-21,718,118.95,Net30
PO100530,SKU1004,SUP504,2024-11-26,2024-12-08,2024-12-09,908,55.08,Net45
PO100531,SKU1038,SUP510,2025-09-14,2025-09-29,2025-10-02,476,22.88,Prepaid
PO100532,SKU1020,SUP509,2024-04-07,2024-04-18,2024-04-19,659,146.27,Net45
PO100533,SKU1100,SUP517,2024-05-05,2024-05-24,2024-05-26,642,109.83,Net30
PO100534,SKU1119,SUP501,2024-07-21,2024-07-29,2024-08-01,427,148.07,Net30
PO100535,SKU1104,SUP502,2025-07-27,2025-08-11,2025-08-13,116,50.61,Net30
PO100536,SKU1060,SUP504,2024-09-29,2024-10-13,2024-10-13,387,151.23,Net45
PO100537,SKU1052,SUP516,2024-01-22,2024-02-02,2024-02-03,109,196.59,Prepaid
PO100538,SKU1073,SUP516,2024-07-07,2024-07-12,2024-07-12,755,27.07,Net45
PO100539,SKU1119,SUP509,2025-09-10,2025-10-04,2025-10-04,315,40.46,Net45
PO100540,SKU1073,SUP511,2025-05-27,2025-06-13,2025-06-14,558,108.14,Net45
PO100541,SKU1093,SUP515,2024-01-21,2024-02-13,2024-02-14,674,187.0,Prepaid
PO100542,SKU1090,SUP509,2025-08-19,2025-09-10,2025-09-12,74,57.77,Net30
PO100543,SKU1080,SUP503,2024-04-05,2024-04-22,2024-04-23,680,50.54,Net30
PO100544,SKU1052,SUP501,2024-10-03,2024-10-12,2024-10-12,702,49.88,Prepaid
PO100545,SKU1001,SUP506,2023-12-07,2023-12-26,2023-12-27,119,163.14,Net30
PO100546,SKU1038,SUP516,2024-10-02,2024-10-25,2024-10-25,166,162.78,Net45
PO100547,SKU1042,SUP510,2025-01-13,2025-01-17,2025-01-17,79,59.6,Prepaid
PO100548,SKU1024,SUP510,2024-01-30,2024-02-11,2024-02-11,540,58.4,Net30
PO100549,SKU1102,SUP501,2024-04-25,2024-05-05,2024-05-06,692,111.7,Net30
PO100550,SKU1114,SUP517,2024-02-04,2024-02-13,2024-02-13,883,195.0,Net30
PO100551,SKU1118,SUP501,2025-03-23,2025-04-04,2025-04-04,792,156.6,Net45
PO100552,SKU1040,SUP517,2024-07-01,2024-07-14,2024-07-15,751,41.08,Net30
PO100553,SKU1102,SUP511,2024-07-18,2024-08-09,2024-08-10,910,32.24,Prepaid
PO100554,SKU1043,SUP512,2025-01-17,2025-02-10,2025-02-10,634,74.89,Net45
PO100555,SKU1049,SUP505,2023-12-07,2023-12-26,2023-12-26,819,36.72,Net30
PO100556,SKU1090,SUP510,2023-11-24,2023-12-17,2023-12-17,138,14.4,Net30
PO100557,SKU1112,SUP507,2023-11-30,2023-12-23,2023-12-24,359,100.56,Prepaid
PO100558,SKU1067,SUP509,2024-10-18,2024-11-09,2024-11-10,88,37.91,Prepaid
PO100559,SKU1116,SUP502,2025-01-16,2025-02-02,2025-02-04,544,51.57,Net45
PO100560,SKU1019,SUP506,2025-10-05,2025-10-17,2025-10-17,944,33.35,Net45
PO100561,SKU1039,SUP510,2024-09-29,2024-10-15,2024-10-16,891,16.94,Net45
PO100562,SKU1086,SUP504,2025-09-30,2025-10-15,2025-10-18,446,77.88,Net45
PO100563,SKU1110,SUP516,2024-07-06,2024-07-25,2024-07-25,95,25.94,Net45
PO100564,SKU1108,SUP502,2024-05-28,2024-06-06,2024-06-06,155,23.75,Net45
PO100565,SKU1098,SUP509,2024-01-25,2024-02-03,2024-02-03,704,133.56,Prepaid
PO100566,SKU1041,SUP506,2025-11-14,2025-11-30,2025-12-02,376,21.7,Net30
PO100567,SKU1085,SUP503,2024-06-23,2024-07-02,2024-07-04,167,105.58,Prepaid
PO100568,SKU1079,SUP517,2024-10-10,2024-11-03,2024-11-05,408,66.8,Net45
PO100569,SKU1040,SUP508,2024-02-26,2024-03-04,2024-03-04,340,176.5,Net45
PO100570,SKU1031,SUP505,2024-09-03,2024-09-10,2024-09-13,396,18.53,Net45
PO100571,SKU1056,SUP501,2025-09-11,2025-09-19,2025-09-20,741,37.39,Prepaid
PO100572,SKU1013,SUP512,2024-06-11,2024-06-26,2024-06-28,233,125.51,Net45
PO100573,SKU1076,SUP514,2024-04-19,2024-05-06,2024-05-07,887,165.25,Prepaid
PO100574,SKU1091,SUP517,2025-01-22,2025-02-02,2025-02-06,832,95.89,Net30
PO100575,SKU1072,SUP504,2025-03-22,2025-04-12,2025-04-13,765,137.59,Net30
PO100576,SKU1012,SUP514,2024-03-16,2024-03-24,2024-03-26,834,160.75,Net30
PO100577,SKU1060,SUP507,2023-12-01,2023-12-19,2023-12-20,967,121.17,Net45
PO100578,SKU1033,SUP511,2024-06-11,2024-06-24,2024-06-27,731,11.38,Net30
PO100579,SKU1100,SUP510,2024-05-01,2024-05-10,2024-05-12,536,28.94,Prepaid
PO100580,SKU1044,SUP515,2024-01-02,2024-01-09,2024-01-10,836,171.27,Net30
PO100581,SKU1077,SUP504,2025-08-28,2025-09-12,2025-09-12,781,36.61,Prepaid
